YEAR,BLACK_TOTAL,WHITE_TOTAL
1978,418730,454786
1979,426606,469540
1980,442377,493383
1981,495589,555926
1982,558818,625176
1983,590202,657078
1984,618233,695724
1985,668345,756418
1986,726626,794708
1987,774224,842330
1988,853052,892789
1989,986746,991167
1990,1074818,1059370
1991,1162990,1109173
1992,1248337,1175863
1993,1339523,1238804
1994,1471568,1334098
1995,1594960,1304802
1996,1656306,1373021
1997,1727576,1451000
1998,1800471,1528595
1999,1860922,1667477
2000,1855557,1496178
2001,1845261,1555940
2002,1847573,1609562
2003,1857443,1679209
2004,1867550,1723906
2005,1873085,1802323
2006,1910331,1841754
2007,1947103,1848485
2008,1955079,1868033
2009,1956821,1879916
2010,1927124,1880767
2011,1906635,1891932
